query,title,url,snippet
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",Corporate Responsibility Report 2023,https://investors.intuit.com/files/doc_downloads/intuit-cr-report-2023-icom.pdf,"I'm happy to report that in fiscal year 2023, we made great progress toward all our long-term goals. Sasan Goodarzi. CEO, Intuit. 03 |. | Introduction. Intuit ..."
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",2022 Corporate Responsibility Report,https://www.intuit.com/oidam/intuit/ic/en_us/content/intuit-cr-report-2022-icom.pdf,"We aim to be transparent in this report about our progress, where we've met our goals, where there's still more work to do, and what our plans ..."
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com","Rapid technological, environmental, and societal shifts are ...",https://investors.intuit.com/files/doc_presentations/2023/Dave-CR-Investor-Day-2023-Slides-1.pdf,Our Corporate Responsibility Report highlights our impact and commitment to power prosperity in the communities we work and live. We aim to be transparent ...
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",Corporate Responsibility Report2020,https://www.intuit.com/oidam/intuit/ic/en_us/content/intuit-cr-report-2020-icom.pdf,"In Fiscal 2020, Intuit supported over 150,000 students and educators with a goal to better prepare 1.1 million people for jobs by 2023. We leverage our products."
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",Intuit Inc. - Investor Relations,https://investors.intuit.com/files/doc_financials/2023/ar/tm2328730-3_DZ-2_nonfiling_-CleanNoBannerDraft-_2023-11-21_14-40-47-17.pdf,in Intuit's Annual Report on Form 10-K for fiscal 2023. We also selected Ernst &amp; Young as Intuit's independent registered public accounting.
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",2023 Proxy Statement,https://investors.intuit.com/files/doc_financials/2022/ar/tm2223271-2_def14a_DZ-5_-CleanNoBanner-wo-card_2022-11-22_14-18-08.pdf,"To learn more about our corporate responsibility efforts, see our Corporate Responsibility Report at https://www.intuit.com/company/."
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",September 2022,https://investors.intuit.com/files/doc_events/2022/09/1/Lara-Intuit-Investor-Day-2022__Design-Pass_0919_CD.pdf,... Intuit's reporting segments and from current or future products and services; our customer growth; our corporate tax rate; changes to our ...
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",Notice of 2022 Annual Meeting of Stockholders,https://investors.intuit.com/files/doc_financials/2021/ar/tm2132245-1_def14a_-webready-_2021-11-23_14-51-02.pdf,in Intuit's Annual Report on Form 10-K for fiscal 2021. We also selected Ernst &amp; Young as Intuit's independent registered public accounting.
"Intuit, Inc. Sustainability Report 2023 filetype:pdf site:intuit.com",Notice of 2021 Annual Meeting of Stockholders and Proxy ...,https://investors.intuit.com/files/doc_financials/2020/ar/2020-Proxy-Statement.pdf,included in Intuit's Annual Report on Form 10-K for fiscal 2020. We also selected Ernst &amp; Young as Intuit's independent registered public.
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","sarepta therapeutics, inc.",https://investorrelations.sarepta.com/static-files/5609920e-2d9d-411b-958e-1107cee36ad7,"(as amended December 8, 2023) ... Committee will (a) review corporate citizenship and sustainability initiatives and targets to assist the Company in ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com",Form DEF 14A for Sarepta Therapeutics INC filed 04/24/2024,https://investorrelations.sarepta.com/static-files/1a968122-632b-41ba-9f82-c513ed82ff8e,"This proxy statement and our Annual. Report to stockholders for the year ended December 31, 2023 are available at www.edocumentview.com/SRPT. By ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com",Form 10-Q for Sarepta Therapeutics INC filed 05/01/2024,https://investorrelations.sarepta.com/static-files/108a1d0f-5407-4fd5-b212-fdc273c12608,"... 2023 which are contained in the Company's Annual Report on Form. 10-K for the year ended December 31, 2023, filed with the U.S. Securities ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com",Form 10-Q for Sarepta Therapeutics INC filed 05/02/2023,https://investorrelations.sarepta.com/static-files/fd54bf9e-35a6-429c-9bee-1a476affa2bf,"The Company believes that its balance of cash, cash equivalents and investments as of the date of the issuance of this report is sufficient to ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","Sarepta Therapeutics, Inc.",https://investorrelations.sarepta.com/static-files/52227bba-4540-442d-ab2c-29fe96c15277,"We make available free of charge through our corporate website, www.sarepta.com, our annual reports, quarterly reports, current reports ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com",Form 10-K for Sarepta Therapeutics INC filed 02/28/2023,https://investorrelations.sarepta.com/static-files/25752742-cab2-4307-91d8-01c77fbff0c7,"Annual Report of Sarepta Therapeutics, Inc. on Form 10-K for the fiscal year ended December 31, 2022, fully complies with the requirements ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","sarepta therapeutics, inc. code of business conduct and ethics",https://investorrelations.sarepta.com/static-files/f0726efa-2cf3-49e0-85c5-b6bfd15d0089,"Sarepta Therapeutics, Inc. (the “Company”) is committed to maintaining the highest standards of business conduct and ethics."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","SAREPTA THERAPEUTICS, INC.",https://investorrelations.sarepta.com/static-files/5b588f9d-b8d1-4e3a-8c59-1116f674aa30,"... Company's Annual Report on Form 10-K for the ... 2023, and the Notes, which are non-callable and ... Quarterly Report of Sarepta Therapeutics, Inc."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","SAREPTA THERAPEUTICS, INC.",https://investorrelations.sarepta.com/static-files/115aea2e-2a45-45f9-8400-f705cc403906,"... Company's Annual Report on Form 10-K for the year ended December ... Beyond June 30, 2023, our cash ... Quarterly Report of Sarepta Therapeutics, ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:investorrelations.sarepta.com","SAREPTA THERAPEUTICS, INC. - Investor Relations",https://investorrelations.sarepta.com/static-files/0221c6ac-d30f-4aa8-ade3-d26412180b28,"... Company's Annual Report on Form 10-K for the year ended December 31, ... term loan under the Credit Agreement, which matures in 2023 ... 2002, that ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com",2023 Sustainability Report,https://www.sarepta.com/sites/sarepta-corporate/files/2024-05/2023_Sarepta_Sustainability_Report.pdf,"These forward-looking statements address various matters including the impact of our therapies and our Company on patients' lives, our community and our ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com","sarepta therapeutics, inc.",https://investorrelations.sarepta.com/static-files/5609920e-2d9d-411b-958e-1107cee36ad7,"(as amended December 8, 2023) ... Committee will (a) review corporate citizenship and sustainability initiatives and targets to assist the Company in ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com",Form DEF 14A for Sarepta Therapeutics INC filed 04/24/2024,https://investorrelations.sarepta.com/static-files/1a968122-632b-41ba-9f82-c513ed82ff8e,"This proxy statement and our Annual. Report to stockholders for the year ended December 31, 2023 are available at www.edocumentview.com/SRPT. By ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com",Form 10-Q for Sarepta Therapeutics INC filed 05/01/2024,https://investorrelations.sarepta.com/static-files/108a1d0f-5407-4fd5-b212-fdc273c12608,"... 2023 which are contained in the Company's Annual Report on Form. 10-K for the year ended December 31, 2023, filed with the U.S. Securities ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com",Form 10-Q for Sarepta Therapeutics INC filed 05/02/2023,https://investorrelations.sarepta.com/static-files/fd54bf9e-35a6-429c-9bee-1a476affa2bf,"The Company believes that its balance of cash, cash equivalents and investments as of the date of the issuance of this report is sufficient to ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com","Sarepta Therapeutics, Inc.",https://investorrelations.sarepta.com/static-files/52227bba-4540-442d-ab2c-29fe96c15277,"We make available free of charge through our corporate website, www.sarepta.com, our annual reports, quarterly reports, current reports ..."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com","sarepta therapeutics, inc. code of business conduct and ethics",https://investorrelations.sarepta.com/static-files/f0726efa-2cf3-49e0-85c5-b6bfd15d0089,"Sarepta Therapeutics, Inc. (the “Company”) is committed to maintaining the highest standards of business conduct and ethics."
"Sarepta Therapeutics, Inc. Sustainability Report 2023 filetype:pdf site:sarepta.com",Form 10-K for Sarepta Therapeutics INC filed 02/28/2023,https://investorrelations.sarepta.com/static-files/25752742-cab2-4307-91d8-01c77fbff0c7,"Annual Report of Sarepta Therapeutics, Inc. on Form 10-K for the fiscal year ended December 31, 2022, fully complies with the requirements ..."
